,DPMP,mort_1998,mort_1999,mort_2000,mort_2001,mort_2002,mort_2003,mort_2004,mort_2005,mort_2006,mort_2007,mort_2008,mort_2009,mort_2010,mort_2011,mort_2012,mort_2013,mort_2014,mort_2015,mort_2016,mort_2017,mort_2018,TAE_1998,TAE_1999,TAE_2000,TAE_2001,TAE_2002,TAE_2003,TAE_2004,TAE_2005,TAE_2006,TAE_2007,TAE_2008,TAE_2009,TAE_2010,TAE_2011,TAE_2012,TAE_2013,TAE_2014,TAE_2015,TAE_2016,TAE_2017,TAE_2018,MPIO
47,05282,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,9.7992700729927,9.195205479452055,14.64590682267917,10.49645390070922,0.0,0.0,7.563380281690143,10.349650349650348,7.000000000000001,9.64169381107492,0.0,0.0,21.38703704438001,6.927374301675977,0.0,0.0,0.0,6.824858757062148,11.11570984143517,0.0,5.352941176470589,Fredonia
48,05284,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.406674907292954,0.0,10.02635046113307,0.0,12.165775401069517,12.165775401069517,0.0,0.0,0.0,9.748520710059172,0.0,0.0,0.0,31.38888888888889,0.0,10.813953488372094,0.0,0.0,0.0,Frontino
49,05306,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.125,0.0,0.0,0.0,0.0,0.0,0.0,35.34883720930233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Giraldo
50,05308,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,4.0,4.0,1.0,3.0,5.0,2.0,2.0,5.0,4.0,14.795627026230473,16.74481682163801,4.585942936673626,10.979579165816153,4.755905511811024,18.042994713757764,11.587542961699182,5.679389312977101,13.02175602175602,16.83083301180939,4.166020170674941,0.0,15.956991105599482,14.584622322259946,3.827160493827161,13.623330635564791,17.645804293188394,6.456440406199892,6.236378876781224,14.139005725845902,13.515831968246367,Girardota
51,05310,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,44.26018099547512,0.0,0.0,29.545454545454547,28.08641975308642,27.081850533807827,0.0,0.0,0.0,0.0,0.0,58.71177944862155,16.703296703296704,10.40983606557377,16.870229007633586,0.0,0.0,0.0,22.114093959731544,13.576642335766424,Gómez plata
52,05313,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.47643979057592,0.0,0.0,15.034013605442176,0.0,0.0,0.0,16.85185185185185,0.0,0.0,16.607142857142854,0.0,14.635761589403973,36.75054895698174,0.0,0.0,0.0,16.126126126126128,0.0,15.79861111111111,0.0,Granada
53,05315,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.04166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.76635514018692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guadalupe
54,05318,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,4.0,5.0,0.0,1.0,3.0,6.0,1.0,9.095354523227385,0.0,10.624450307827617,0.0,6.5,11.376474362808807,5.070821529745043,0.0,10.277088502894955,4.881889763779528,9.396135265700483,6.421348382790217,0.0,0.0,14.074551783682455,17.178094408029395,0.0,3.8627768773635878,8.732033427995052,18.12707532590275,2.887096774193549,Guarne
55,05321,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35.27777777777778,0.0,0.0,0.0,0.0,0.0,28.396946564885496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.782608695652176,0.0,16.986301369863014,Guatapé
56,05347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.65989847715736,0.0,0.0,0.0,0.0,0.0,0.0,27.121212121212125,0.0,0.0,0.0,0.0,0.0,0.0,Heliconia
57,05353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.96,0.0,0.0,0.0,0.0,0.0,37.03448275862069,36.28378378378379,34.732824427480914,0.0,0.0,0.0,0.0,0.0,26.666666666666664,Hispania
