,codmunre,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,codmunicipio,MUNICIPIO,codptore,DPTO
186,13838,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,13838,turbaná,13,Bolivar
187,13873,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,2,1,0,13873,villanueva,13,Bolivar
188,13894,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,0,1,2,13894,zambrano,13,Bolivar
189,15001,3,2,10,5,5,4,2,6,8,8,5,6,11,8,9,7,9,14,13,14,16,15001,tunja,15,Boyaca
190,15047,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,15047,aquitania,15,Boyaca
191,15051,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,15051,arcabuco,15,Boyaca
192,15087,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15087,belén,15,Boyaca
193,15090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15090,berbeo,15,Boyaca
194,15092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15092,betéitiva,15,Boyaca
195,15097,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,15097,boavita,15,Boyaca
196,15104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15104,boyacá,15,Boyaca
197,15106,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15106,briceño,15,Boyaca
198,15109,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15109,buenavista,15,Boyaca
199,15114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15114,busbanzá,15,Boyaca
200,15135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15135,campohermoso,15,Boyaca
201,15162,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,15162,cerinza,15,Boyaca
202,15172,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,15172,chinavita,15,Boyaca
203,15176,1,0,1,2,1,0,3,3,1,2,1,6,1,8,7,4,6,3,1,0,3,15176,chiquinquirá,15,Boyaca
204,15180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15180,chiscas,15,Boyaca
205,15183,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15183,chita,15,Boyaca
206,15185,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15185,chitaraque,15,Boyaca
207,15187,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15187,chivatá,15,Boyaca
208,15189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15189,ciénega,15,Boyaca
209,15204,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,15204,cómbita,15,Boyaca
210,15212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15212,coper,15,Boyaca
211,15218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15218,covarachía,15,Boyaca
212,15224,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15224,cucaita,15,Boyaca
